group,seq_in_group,track_key_name,track_key_artist,name,artist,label(mood_tags),genre_family,label_confidence
1,1,Temujin,Sir Hiss,Temujin,Sir Hiss,restless;urban;unresolved,electronic,0.85
1,2,Popup Cinema,Tropics,Popup Cinema,Tropics,dreamy;urban;nostalgic,chillwave,0.85
1,3,Not The End Of The World,Howe Gelb,Not The End Of The World,Howe Gelb,introspective;melancholic;restrained,singer_songwriter,0.85
1,4,红豆,王菲,红豆,王菲,nostalgic;warm;bittersweet,mandopop,0.9
1,5,天堂鸟,郑嘉嘉,天堂鸟,郑嘉嘉,dreamy;nostalgic;bittersweet,mandopop,0.85
1,6,"""A Dream, Pt. 2""",Von Spar,"""A Dream, Pt. 2""",Von Spar,dreamy;introspective;restrained,ambient,0.85
1,7,Crazy In Love (feat. JAY-Z),Beyoncé,Crazy In Love (feat. JAY-Z),Beyoncé,restless;urban;hopeful,pop,0.85
1,8,Alhena,Erik Truffaz,Alhena,Erik Truffaz,introspective;melancholic;restrained,modern_classical,0.85
2,1,Caro mio ben,Cecilia Bartoli,Caro mio ben,Cecilia Bartoli,warm;nostalgic;restrained,classical,0.85
2,2,Tossed Salad & Scrambled Eggs,Chris Minh Doky,Tossed Salad & Scrambled Eggs,Chris Minh Doky,warm;clear;nostalgic,jazz,0.85
2,3,Where Is The Love（Soule Rework),The Black Eyed Peas,Where Is The Love（Soule Rework),The Black Eyed Peas,urban;restless;hopeful,pop,0.85
2,4,Freek'n You,Jodeci,Freek'n You,Jodeci,sensual;warm;urban,r&b,0.9
2,5,Movies,Weyes Blood,Movies,Weyes Blood,nostalgic;melancholic;dreamy,art_pop,0.9
2,6,I'm Still Standing,Elton John,I'm Still Standing,Elton John,hopeful;restless;urban,rock,0.85
2,7,一辈子的孤单,刘若英,一辈子的孤单,刘若英,lonely;melancholic;nostalgic,mandopop,0.9
2,8,Pieces,Howling,Pieces,Howling,introspective;melancholic;restrained,electronic,0.85
3,1,Nothing’s Special,Oneohtrix Point Never,Nothing’s Special,Oneohtrix Point Never,detached;restrained;unresolved,ambient,0.85
3,2,Right Side of My Neck,Faye Webster,Right Side of My Neck,Faye Webster,dreamy;warm;nostalgic,indie_folk,0.85
3,3,Don't You Forget,Parov Stelar,Don't You Forget,Parov Stelar,nostalgic;urban;restless,electro_swing,0.85
3,4,未闻花名,OnceFly,未闻花名,OnceFly,nostalgic;melancholic;bittersweet,mandopop,0.85
3,5,Por una Cabeza,Viveza,Por una Cabeza,Viveza,warm;sensual;nostalgic,tango,0.9
3,6,our love,西原健一郎 / Mabanua,our love,西原健一郎 / Mabanua,warm;nostalgic;bittersweet,jazz_hop,0.85
3,7,Another Day of Sun,Justin Hurwitz,Another Day of Sun,Justin Hurwitz,hopeful;warm;clear,musical_film,0.9
3,8,美麗的插曲,萧亚轩,美麗的插曲,萧亚轩,nostalgic;warm;bittersweet,mandopop,0.85
4,1,不变,王菲,不变,王菲,nostalgic;bittersweet;restrained,mandopop,0.85
4,2,Les pianos de Brazzaville,Yonathan Avishai,Les pianos de Brazzaville,Yonathan Avishai,introspective;melancholic;restrained,modern_classical,0.9
4,3,酔月,erica,酔月,erica,dreamy;nostalgic;bittersweet,ambient,0.85
4,4,Speechless,Hollerado,Speechless,Hollerado,restless;urban;hopeful,indie_rock,0.85
4,5,In Utopia,Gliss,In Utopia,Gliss,dreamy;nostalgic;restrained,dream_pop,0.85
4,6,The Best,Self Esteem,The Best,Self Esteem,hopeful;warm;clear,art_pop,0.85
4,7,Morricone: Cinema Paradiso (Se),Katherine Jenkins,Morricone: Cinema Paradiso (Se),Katherine Jenkins,nostalgic;warm;bittersweet,classical_crossover,0.85
4,8,Epilogue,Emil Brandqvist,Epilogue,Emil Brandqvist,introspective;melancholic;restrained,modern_classical,0.9
5,1,Rain On Me (with Ariana Grande),Lady Gaga,Rain On Me (with Ariana Grande),Lady Gaga,restless;urban;hopeful,dance_pop,0.85
5,2,Last Ride Home,Magnus Ringblom Quartet,Last Ride Home,Magnus Ringblom Quartet,nostalgic;warm;bittersweet,jazz,0.85
5,3,LOVE LOVE LOVE - Play World Tour Live,JOLIN蔡依林,LOVE LOVE LOVE - Play World Tour Live,JOLIN蔡依林,restless;urban;hopeful,mandopop,0.85
5,4,Grace,Patrice Bäumel,Grace,Patrice Bäumel,dreamy;warm;nostalgic,ambient_house,0.85
5,5,Get It,PRISTIN V,Get It,PRISTIN V,urban;restless;clear,k_pop,0.85
5,6,光年之外 (電影 《Passengers》 中國區主題曲),鄧紫棋,光年之外 (電影 《Passengers》 中國區主題曲),鄧紫棋,hopeful;nostalgic;bittersweet,mandopop,0.85
5,7,Carefully in the Dark,Close Talker,Carefully in the Dark,Close Talker,introspective;melancholic;restrained,indie_rock,0.85
5,8,2all,Catfish and the Bottlemen,2all,Catfish and the Bottlemen,restless;urban;hopeful,indie_rock,0.85
6,1,Deep into It,Larry Carlton,Deep into It,Larry Carlton,warm;clear;restrained,jazz,0.85
6,2,Honey,Sorcha Richardson,Honey,Sorcha Richardson,warm;nostalgic;dreamy,indie_folk,0.85
6,3,Prologo,La Batteria,Prologo,La Batteria,restrained;melancholic;unresolved,modern_classical,0.85
6,4,An Impossible Condo,CFCF,An Impossible Condo,CFCF,urban;restless;unresolved,electronic,0.85
6,5,亲爱的你怎么不在身边,江美琪,亲爱的你怎么不在身边,江美琪,nostalgic;lonely;bittersweet,mandopop,0.9
6,6,台,莫文蔚,台,莫文蔚,introspective;melancholic;restrained,mandopop,0.85
6,7,The Edge Of Heaven,Wham!,The Edge Of Heaven,Wham!,warm;nostalgic;hopeful,pop,0.85
6,8,The Well-Meaning Professor,Eluvium,The Well-Meaning Professor,Eluvium,introspective;melancholic;restrained,modern_classical,0.9
7,1,沙滩 / Over The Rainbow (Live),陶喆,沙滩 / Over The Rainbow (Live),陶喆,nostalgic;warm;bittersweet,mandopop,0.85
7,2,然后,萧亚轩 / 倪子冈,然后,萧亚轩 / 倪子冈,urban;nostalgic;bittersweet,mandopop,0.85
7,3,Let the Sun Come Through,Sam Cohen,Let the Sun Come Through,Sam Cohen,hopeful;warm;nostalgic,folk_rock,0.85
7,4,Policy of Truth,Depeche Mode,Policy of Truth,Depeche Mode,restrained;urban;unresolved,synthpop,0.9
7,5,Looking For Sunshine,YEAH BOY,Looking For Sunshine,YEAH BOY,hopeful;warm;nostalgic,indie_pop,0.85
7,6,Touch Me,UNKLE,Touch Me,UNKLE,urban;restless;melancholic,trip_hop,0.85
7,7,偿还 / 红豆 (Live),王菲,偿还 / 红豆 (Live),王菲,nostalgic;warm;bittersweet,mandopop,0.9
7,8,Overlap,Catfish and the Bottlemen,Overlap,Catfish and the Bottlemen,restless;urban;hopeful,indie_rock,0.85
8,1,When The Working Day Is Done,The Divine Comedy,When The Working Day Is Done,The Divine Comedy,nostalgic;warm;hopeful,chamber_pop,0.85
8,2,Usal Road,Yann Tiersen,Usal Road,Yann Tiersen,introspective;melancholic;restrained,modern_classical,0.9
8,3,Fragment I,Drinker,Fragment I,Drinker,introspective;melancholic;restrained,modern_classical,0.9
8,4,Cell Block Tango,Taye Diggs / Susan Misner / Deidre Goodwin / Denise Faye / Mya Harrison,Cell Block Tango,Taye Diggs / Susan Misner / Deidre Goodwin / Denise Faye / Mya Harrison,restless;urban;bittersweet,musical_theatre,0.85
8,5,Twenty-Two Dreaming,Wy,Twenty-Two Dreaming,Wy,dreamy;nostalgic;hopeful,dream_pop,0.85
8,6,"""Variations on a Rococo Theme, Op. 33, TH 57: Var: VI. Andante""",Pyotr Ilyich Tchaikovsky,"""Variations on a Rococo Theme, Op. 33, TH 57: Var: VI. Andante""",Pyotr Ilyich Tchaikovsky,warm;nostalgic;restrained,classical,0.85
