name,artist,mood_tags,texture_tags,negative_tags,energy,brightness,density,warmth,rhythmic_motion,vocal_presence,emotional_weight,language,has_vocal,genre_family,scene_fit,sequence_shape,label_confidence,reason
Message d'amour,Patrick Vasori,warm;nostalgic;clear,acoustic;string;jazz_brush,,0.35,0.55,0.4,0.7,0.3,0,0.45,instrumental,0,jazz,"""{""""morning_clear_light"""":0.8,""""afternoon_warm_idle"""":0.75,""""work_focus_low_vocal"""":0.7}""",soft_focus_work,0.85,温暖的尼龙弦吉他搭配弦乐与爵士刷，明亮而怀旧的器乐小品
Miss You (Ronnie&Rufus),Friska Viljor,nostalgic;warm;bittersweet,acoustic;vocal_breath;string;soft_synth,,0.4,0.5,0.45,0.6,0.35,0.6,0.55,en,1,indie_folk,"""{""""evening_city_walk"""":0.8,""""weekend_slow"""":0.75,""""morning_cloudy_slow"""":0.7}""",slow_opening,0.85,温暖的木吉他和弦乐编排，人声轻柔怀旧，带有淡淡的忧伤与温暖
Luv (Sic) Grand Finale Part 6 (Remix) Instrumental,Nujabes,nostalgic;dreamy;bittersweet,lofi_dust;soft_synth;jazz_brush;ambient_pad,,0.35,0.4,0.45,0.55,0.35,0,0.7,instrumental,0,lo_fi_hip_hop,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.8,""""work_focus_low_vocal"""":0.75}""",city_to_inner_room,0.9,Nujabes 标志性的 lo-fi 爵士嘻哈，温暖采样与鼓点交织出怀旧而梦幻的都市氛围
Los,Plaid,restless;urban;unresolved,cold_synth;electric_distant;minimal;reverb_heavy,,0.4,0.35,0.5,0.3,0.5,0,0.6,instrumental,0,electronic,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""work_focus_low_vocal"""":0.7}""",city_to_inner_room,0.85,冷调合成器与疏离节奏，营造都市夜晚的不安与未解情绪
Broken on a Wheel,The Shining Levels,melancholic;introspective;restrained,acoustic;vocal_breath;minimal,,0.25,0.3,0.35,0.4,0.2,0.6,0.75,en,1,indie_folk,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.7}""",fade_into_inner_space,0.85,原声吉他与人声交织，克制而内省，带有淡淡的忧伤与脆弱感
Waltz by the River,Eleni Karaindrou,melancholic;nostalgic;restrained,piano;string;minimal;cinematic,,0.2,0.3,0.25,0.45,0.2,0,0.8,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",slow_opening,0.9,钢琴与弦乐编织的缓慢华尔兹，克制而怀旧，充满电影般的叙事感
Flower Duet:Lakme (Delibes),Eliina Garancha / Anna Netrebko,dreamy;warm;clear,vocal_breath;string;cinematic,,0.3,0.65,0.4,0.6,0.2,0.85,0.5,en,1,classical,"""{""""morning_clear_light"""":0.8,""""afternoon_warm_idle"""":0.75,""""evening_city_walk"""":0.7}""",slow_opening,0.85,经典歌剧二重唱，女高音清澈温暖，弦乐衬托出梦幻而明亮的质感
Long Down,Only Child Tyrant,melancholic;restrained;lonely,piano;minimal;reverb_heavy;field_recording,,0.2,0.25,0.2,0.3,0.1,0,0.7,instrumental,0,modern_classical,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",afterglow_fading,0.85,极简钢琴与空旷混响，搭配环境录音，营造出克制而孤独的深夜氛围
Deighton,The Shining Levels,introspective;melancholic;restrained,piano;ambient_pad;minimal,,0.15,0.25,0.2,0.35,0.1,0,0.7,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",slow_opening,0.85,极简钢琴与氛围铺垫，缓慢而内省，带有克制的情感重量
Cold Water,Hydrogen Sea,misty;melancholic;detached,ambient_pad;reverb_heavy;cold_synth;minimal,,0.2,0.3,0.25,0.3,0.15,0,0.7,instrumental,0,ambient,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",rain_on_glass,0.85,冷调氛围铺底与深远混响，营造出朦胧而疏离的忧郁感
The Burn,Odd Nosdam,introspective;restrained;melancholic,ambient_pad;grainy;lofi_dust;field_recording,,0.2,0.25,0.3,0.35,0.15,0,0.7,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",fade_into_inner_space,0.85,粗糙低保真氛围声景，内省而克制，带有颗粒感和田野录音的质感
