name,artist,mood_tags,texture_tags,negative_tags,energy,brightness,density,warmth,rhythmic_motion,vocal_presence,emotional_weight,language,has_vocal,genre_family,scene_fit,sequence_shape,label_confidence,reason
Folded (Remix) [feat. Ne-Yo],Kehlani / Ne-Yo,urban;warm;hopeful,soft_synth;vocal_breath;electric_distant,,0.55,0.5,0.5,0.6,0.5,0.7,0.5,en,1,r&b,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.7,""""work_focus_low_vocal"""":0.6}""",city_to_inner_room,0.85,R&B 节奏与温暖人声交织，都市感中带着希望与亲密
Tjampuhan,David Parsons,introspective;misty;restrained,ambient_pad;field_recording;minimal;cold_synth,,0.15,0.25,0.2,0.3,0.1,0,0.7,instrumental,0,ambient,"""{""""deep_night_introspective"""":0.9,""""night_rain_humid"""":0.85,""""work_focus_low_vocal"""":0.8}""",fade_into_inner_space,0.9,David Parsons 的极简氛围作品，以冷调合成器与田野录音构建出静谧、内省的空间感
爱可留痕,莫文蔚,nostalgic;bittersweet;warm,piano;string;vocal_breath,,0.4,0.5,0.45,0.6,0.35,0.65,0.65,zh,1,mandopop,"""{""""evening_city_walk"""":0.8,""""weekend_slow"""":0.7,""""night_rain_humid"""":0.75}""",slow_opening,0.85,莫文蔚低沉而温暖的声线搭配钢琴与弦乐，营造出怀旧而略带苦涩的抒情氛围
I See All Shades of You,Nicola Conte / Alice Ricciardi,warm;nostalgic;sensual,acoustic;jazz_brush;string;vocal_breath,,0.35,0.55,0.4,0.7,0.3,0.6,0.5,en,1,jazz,"""{""""morning_clear_light"""":0.8,""""afternoon_warm_idle"""":0.85,""""evening_city_walk"""":0.75}""",soft_focus_work,0.85,Nicola Conte 的爵士编排搭配 Alice Ricciardi 温暖声线，木吉他、爵士鼓刷与弦乐营造出怀旧而感性的氛围
Macedonia,Nicola Conte,warm;clear;nostalgic,acoustic;jazz_brush;string;soft_synth,,0.35,0.6,0.45,0.7,0.4,0,0.45,instrumental,0,jazz,"""{""""work_focus_low_vocal"""":0.85,""""afternoon_warm_idle"""":0.8,""""morning_clear_light"""":0.75}""",soft_focus_work,0.85,温暖的爵士编排，尼龙弦吉他、弦乐与软合成器交织，明亮而怀旧
看透,莫文蔚,introspective;melancholic;bittersweet,piano;string;vocal_breath;reverb_heavy,,0.35,0.4,0.45,0.5,0.3,0.7,0.75,zh,1,mandopop,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""evening_city_walk"""":0.75}""",fade_into_inner_space,0.9,莫文蔚低沉而富有穿透力的声线搭配钢琴与弦乐，营造出内省而略带忧伤的夜晚氛围
话题,莫文蔚,nostalgic;bittersweet;warm,piano;string;vocal_breath,,0.4,0.5,0.45,0.6,0.35,0.7,0.65,zh,1,mandopop,"""{""""evening_city_walk"""":0.8,""""night_rain_humid"""":0.75,""""weekend_slow"""":0.7}""",slow_opening,0.85,莫文蔚独特的低沉声线搭配钢琴与弦乐，营造出怀旧而略带苦涩的温暖氛围
elegant puppet.,Kismet,dreamy;melancholic;restrained,soft_synth;reverb_heavy;ambient_pad;minimal,,0.25,0.35,0.3,0.4,0.2,0,0.65,instrumental,0,ambient,"""{""""deep_night_introspective"""":0.85,""""night_clear_lonely"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,梦幻而克制的氛围电子，软合成器与深远混响营造出内省而略带忧郁的声景
Under Starry Sky,ATOM,dreamy;nostalgic;lonely,ambient_pad;soft_synth;reverb_heavy;minimal,,0.25,0.4,0.3,0.45,0.2,0,0.6,instrumental,0,ambient,"""{""""night_clear_lonely"""":0.9,""""deep_night_introspective"""":0.85,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,空灵的氛围合成器与深远混响，营造出星空下的梦幻与孤独感
fractured,Rexlity,introspective;melancholic;restrained,piano;minimal;reverb_heavy,,0.2,0.3,0.25,0.35,0.15,0,0.7,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",afterglow_fading,0.85,极简钢琴与深远混响，营造内省而克制的破碎感
